ProblemName,Seed,T_Default,T_VIA,T_VILCP,T_Achterberg2013,T_VILCP',T_All,N_Default,N_VIA,N_VILCP,N_Achterberg2013,N_VILCP',N_All,T_presolve_VIA,T_presolve_VILCP,Rows_Default,Rows_VIA,Rows_VILCP,Rows_Achterberg2013,Rows_VILCP',Rows_All,Cols_Default,Cols_VIA,Cols_VILCP,Cols_Achterberg2013,Cols_VILCP',Cols_All,Nnz_Default,Nnz_VIA,Nnz_VILCP,Nnz_Achterberg2013,Nnz_VILCP',Nnz_All
sct2,4,601.96,612.14,1223.91,611.77,615.45,1227.63,44699,44699,92527,44699,44699,92527,0.01,0.04,1603,1603,1603,1603,1603,1603,3606,3606,3606,3606,3606,3606,18826,18826,18826,18826,18826,18826
sct2,5,865.84,852.02,491.10,874.13,866.13,493.66,57696,57696,36094,57696,57696,36094,0.01,0.04,1603,1603,1603,1603,1603,1603,3606,3606,3606,3606,3606,3606,18826,18826,18826,18826,18826,18826
seymour,1,7200.00,7200.00,7200.02,7200.00,7200.01,7200.02,123016,123428,121688,123311,123668,121688,0.00,0.04,4563,4563,4563,4563,4563,4563,889,889,889,889,889,889,29789,29789,29789,29789,29789,29789
seymour,2,7200.00,7200.00,7200.01,7200.00,7200.00,7200.01,116285,119661,116914,118429,120284,119661,0.00,0.04,4563,4563,4563,4563,4563,4563,889,889,889,889,889,889,29789,29789,29789,29789,29789,29789
seymour,3,7200.00,7200.00,7200.01,7200.00,7200.03,7200.00,121878,122539,119732,120329,122694,121006,0.00,0.04,4563,4563,4563,4563,4563,4563,889,889,889,889,889,889,29789,29789,29789,29789,29789,29789
seymour,4,7200.00,7200.01,7200.00,7200.02,7200.00,7200.00,127864,128980,128602,127493,129005,132214,0.00,0.05,4563,4563,4563,4563,4563,4563,889,889,889,889,889,889,29789,29789,29789,29789,29789,29789
seymour,5,7200.01,7200.00,7200.00,7200.00,7200.02,7200.00,138954,141578,128982,140439,138996,140060,0.00,0.05,4563,4563,4563,4563,4563,4563,889,889,889,889,889,889,29789,29789,29789,29789,29789,29789
seymour1,1,158.01,154.34,153.94,156.23,152.91,158.13,2843,2843,2843,2843,2843,2843,0.00,0.00,4563,4563,4563,4563,4563,4563,890,890,890,890,890,890,29839,29839,29839,29839,29839,29839
seymour1,2,189.52,189.86,190.40,190.22,190.51,191.20,3807,3807,3807,3807,3807,3807,0.00,0.00,4563,4563,4563,4563,4563,4563,890,890,890,890,890,890,29839,29839,29839,29839,29839,29839
seymour1,3,131.28,131.74,130.63,130.92,130.51,130.74,2371,2371,2371,2371,2371,2371,0.00,0.00,4563,4563,4563,4563,4563,4563,890,890,890,890,890,890,29839,29839,29839,29839,29839,29839
